::1 - - [06/Oct/2024:10:31:28 +0000] "GET /api/v1/user/my-profile HTTP/1.1" 200 284 "-" "PostmanRuntime/7.42.0"
::1 - - [06/Oct/2024:10:33:40 +0000] "POST /api/v1/user/register HTTP/1.1" 201 74 "-" "PostmanRuntime/7.42.0"
::1 - - [06/Oct/2024:10:34:39 +0000] "POST /api/v1/user/login HTTP/1.1" 200 513 "-" "PostmanRuntime/7.42.0"
::1 - - [06/Oct/2024:10:34:59 +0000] "GET /api/v1/user/admin/all-users HTTP/1.1" 401 703 "-" "PostmanRuntime/7.42.0"
::1 - - [06/Oct/2024:10:35:18 +0000] "GET /api/v1/user/admin/all-users HTTP/1.1" 200 490 "-" "PostmanRuntime/7.42.0"
::1 - - [06/Oct/2024:10:37:56 +0000] "GET /api/v1/user/admin/%20%20%20%20%20%20%20%20%20%20%20%20%22_id%22:%20%22670216e9c389f65a1164d58d%22,%0A HTTP/1.1" 500 340 "-" "PostmanRuntime/7.42.0"
::1 - - [06/Oct/2024:10:38:08 +0000] "GET /api/v1/user/admin/670216e9c389f65a1164d58d%0A HTTP/1.1" 500 340 "-" "PostmanRuntime/7.42.0"
::1 - - [06/Oct/2024:10:39:08 +0000] "GET /api/v1/user/admin/670216e9c389f65a1164d58d HTTP/1.1" 200 284 "-" "PostmanRuntime/7.42.0"
::1 - - [06/Oct/2024:11:45:43 +0000] "POST /api/v1/user/login HTTP/1.1" 500 307 "-" "PostmanRuntime/7.42.0"
::1 - - [06/Oct/2024:11:46:59 +0000] "POST /api/v1/user/login HTTP/1.1" 500 307 "-" "PostmanRuntime/7.42.0"
::1 - - [06/Oct/2024:11:48:00 +0000] "POST /api/v1/user/login HTTP/1.1" 500 350 "-" "PostmanRuntime/7.42.0"
::1 - - [06/Oct/2024:11:48:22 +0000] "POST /api/v1/user/login HTTP/1.1" 200 556 "-" "PostmanRuntime/7.42.0"
::1 - - [06/Oct/2024:11:49:01 +0000] "POST /api/v1/user/login HTTP/1.1" 200 556 "-" "PostmanRuntime/7.42.0"
::1 - - [06/Oct/2024:11:58:27 +0000] "GET /api/v1/user/logout HTTP/1.1" 500 690 "-" "PostmanRuntime/7.42.0"
::1 - - [06/Oct/2024:11:59:01 +0000] "GET /api/v1/user/logout HTTP/1.1" 200 93 "-" "PostmanRuntime/7.42.0"
::1 - - [06/Oct/2024:11:59:34 +0000] "GET /api/v1/user/logout HTTP/1.1" 200 502 "-" "PostmanRuntime/7.42.0"
::1 - - [06/Oct/2024:12:01:03 +0000] "GET /api/v1/user/logout HTTP/1.1" 200 502 "-" "PostmanRuntime/7.42.0"
::1 - - [06/Oct/2024:12:08:32 +0000] "GET /api/v1/user/logout HTTP/1.1" 500 357 "-" "PostmanRuntime/7.42.0"
::1 - - [06/Oct/2024:12:10:35 +0000] "GET /api/v1/user/logout HTTP/1.1" 200 502 "-" "PostmanRuntime/7.42.0"
::1 - - [06/Oct/2024:12:18:49 +0000] "GET /api/v1/user/logout HTTP/1.1" 500 353 "-" "PostmanRuntime/7.42.0"
::1 - - [06/Oct/2024:12:19:53 +0000] "GET /api/v1/user/logout HTTP/1.1" 200 597 "-" "PostmanRuntime/7.42.0"
::1 - - [06/Oct/2024:12:20:53 +0000] "GET /api/v1/user/logout HTTP/1.1" 200 597 "-" "PostmanRuntime/7.42.0"
::1 - - [06/Oct/2024:12:22:42 +0000] "GET /api/v1/user/logout HTTP/1.1" 200 597 "-" "PostmanRuntime/7.42.0"
::1 - - [06/Oct/2024:12:23:49 +0000] "GET /api/v1/user/logout HTTP/1.1" 200 596 "-" "PostmanRuntime/7.42.0"
::1 - - [06/Oct/2024:12:24:07 +0000] "POST /api/v1/user/login HTTP/1.1" 200 556 "-" "PostmanRuntime/7.42.0"
